@relation 'telco_labFour-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4,6'

@attribute region numeric
@attribute townsize numeric
@attribute gender numeric
@attribute agecat numeric
@attribute edcat numeric
@attribute income numeric
@attribute debtinc numeric
@attribute churn numeric

@data
2,2,0,4,2,32,10.1,1
1,1,0,5,1,82,4.8,1
4,2,1,4,2,54,9.6,0
1,5,1,5,1,42,3,0
4,5,0,4,4,58,7.5,0
1,1,1,4,2,73,4.6,0
4,3,0,5,4,36,14.1,1
1,3,1,6,4,51,6.7,1
4,3,0,6,3,27,6.2,0
4,3,0,6,1,36,10.5,0
3,3,1,4,4,59,5.9,1
5,2,0,6,4,41,14,0
5,4,0,6,2,59,3.4,0
3,2,0,5,5,128,20.5,0
2,1,0,3,3,54,9.6,0
2,2,1,4,1,44,10.6,0
3,3,0,2,2,15,10.9,1
2,2,0,3,3,17,2.2,0
4,1,0,6,3,59,2.1,0
4,2,0,4,2,57,14.3,0
4,3,0,5,2,29,7.2,0
3,4,0,6,3,12,12.7,0
2,1,0,6,4,9,19.7,0
2,2,0,3,2,85,8.2,0
1,2,0,5,1,25,6.8,0
4,1,1,4,2,48,18.5,0
3,3,0,2,4,29,7.2,1
4,3,1,3,4,64,3.7,1
2,1,1,2,2,13,12.4,0
3,1,0,5,2,131,5.3,0
3,1,0,2,3,10,6.1,0
3,3,1,3,1,27,0.6,0
1,1,1,5,2,11,41.7,1
4,2,0,2,4,51,6.4,1
3,1,1,6,4,57,12.8,1
3,3,0,5,2,54,9,0
2,4,1,5,3,98,13.1,0
3,5,1,4,4,28,20.7,0
2,5,1,3,4,69,5.9,0
4,2,0,6,1,149,0.7,0
4,2,1,5,1,155,8.7,0
5,2,0,5,5,49,15.6,0
4,2,0,6,2,17,13.8,0
3,1,0,6,2,31,15.3,1
3,3,0,5,4,39,20.5,0
2,5,0,3,4,156,1.1,1
5,1,1,5,3,17,6.4,0
4,2,0,4,4,60,8.4,0
2,5,1,5,2,122,13.6,0
5,5,0,2,4,32,7.1,1
2,2,0,5,2,43,4.1,0
4,4,1,5,3,142,13.6,0
5,5,0,6,3,123,1.1,0
1,3,1,3,1,32,0.9,0
3,3,1,6,1,14,7.3,0
1,5,1,4,4,17,8,0
2,5,1,5,2,58,11.4,0
5,2,0,3,3,39,9.3,1
2,2,0,6,2,47,7.9,0
1,1,0,5,3,49,4.8,1
5,2,0,3,3,29,10.9,1
3,1,0,3,4,51,6.2,0
1,1,1,6,1,20,19.2,0
2,5,1,6,2,74,7.2,0
4,2,0,4,4,193,3.7,1
4,3,1,5,1,94,19.2,0
1,3,1,2,1,21,9.5,0
4,1,0,5,3,121,7.8,1
4,5,1,4,2,24,6.6,0
2,1,1,6,2,53,13.5,0
1,2,1,5,3,56,11.3,0
2,1,0,6,3,26,18.1,0
3,4,1,6,1,19,4.2,0
4,5,0,4,5,47,5.5,1
3,5,0,2,3,19,12.5,1
4,5,0,6,2,164,29.7,0
2,3,0,2,2,16,1.1,0
2,4,0,2,2,23,2.1,0
3,5,0,6,3,13,17.3,0
5,3,1,5,2,74,11.9,0
2,1,1,5,4,129,5.5,1
1,4,1,4,3,56,6.1,0
2,4,0,6,1,59,12.3,0
4,1,1,4,3,36,5.2,0
4,5,1,5,4,96,29.3,0
4,1,1,6,1,22,14.9,0
3,3,0,3,3,43,9.2,1
2,5,1,4,4,29,30.7,1
4,4,0,4,3,28,13.2,1
2,1,1,5,2,29,14.2,0
3,3,0,6,2,18,5.1,0
5,4,1,6,1,14,1.9,0
3,4,0,3,3,36,18,0
1,1,1,6,4,152,8.4,0
5,5,0,5,2,84,9.9,0
3,3,0,3,3,32,15.3,1
2,2,1,6,5,22,17.8,0
5,3,0,5,4,143,5.9,0
4,1,0,4,4,22,2.4,0
4,3,1,4,3,50,11.4,0
5,5,0,6,3,42,14.6,0
5,3,1,2,4,13,3.3,1
5,4,1,3,4,55,5.3,1
1,2,0,6,1,23,12.3,0
1,1,0,6,2,15,3.5,0
1,1,0,4,3,45,19.7,0
5,2,0,3,3,20,13.3,0
5,5,0,4,5,48,13.4,0
5,2,0,3,3,42,6.7,0
2,1,0,5,3,35,7.5,0
1,1,0,5,3,38,9,0
1,1,1,5,4,66,7.9,0
5,5,1,2,2,19,4.1,1
1,1,1,6,2,10,6.8,0
2,3,0,6,2,21,11.8,0
1,1,0,4,4,114,7,0
4,3,1,6,1,41,5,0
2,2,1,2,4,23,14.3,1
3,4,0,3,3,21,3.3,1
1,1,1,5,2,110,29.7,0
2,2,1,4,4,29,7.9,0
2,1,1,6,1,102,8.7,0
5,4,0,4,2,22,5.9,0
5,5,1,5,1,42,6.1,0
5,4,1,4,2,36,14.9,0
5,2,0,2,1,19,4.6,0
5,5,0,3,4,31,23.4,0
4,2,1,4,1,66,15.1,0
4,3,0,6,2,23,10.4,0
3,1,1,2,2,15,4.9,0
1,2,0,3,1,21,8.9,0
2,4,1,6,3,237,5,0
2,4,0,5,4,32,10.6,1
1,2,0,4,3,208,8.3,0
5,4,1,3,4,82,10.1,1
2,4,1,5,2,182,26.2,0
5,5,0,2,3,17,3.9,1
5,2,1,6,1,62,10.7,1
4,2,1,3,3,30,30.6,0
4,1,1,5,1,18,6.1,1
4,1,0,2,3,20,3.8,1
4,2,0,3,4,109,18.4,1
5,3,0,6,1,88,8.3,0
3,2,0,4,1,46,11,1
3,3,1,3,1,22,9.1,0
4,2,0,4,5,58,9.6,1
3,1,1,6,3,28,3.9,1
5,4,0,4,4,127,6.9,0
5,5,1,4,3,51,18.3,1
1,3,1,3,2,29,12.4,1
4,4,0,6,4,141,10.7,0
4,3,0,2,4,20,14.9,0
5,4,0,6,4,64,12,0
5,5,0,4,4,30,9.7,0
5,5,1,5,1,19,6.8,0
3,1,0,4,4,22,11,0
1,2,1,5,2,79,14,0
2,4,1,6,2,55,21.2,0
5,4,1,6,2,350,3.9,0
4,4,0,4,2,81,7.1,0
3,4,1,6,3,17,9.5,0
1,3,1,2,3,30,4.4,0
2,2,1,6,2,10,4.2,0
3,4,1,2,3,26,2.7,0
5,5,1,2,1,23,7.6,1
5,3,1,5,1,50,4.2,0
3,3,0,3,2,21,9.4,0
2,1,1,3,2,22,5.4,0
3,4,0,4,3,60,3.8,0
3,1,0,5,4,101,14.6,0
4,2,0,4,3,65,5.8,0
2,3,1,6,1,32,6.9,0
4,5,0,2,2,25,10.5,1
2,1,1,4,4,34,17.3,1
1,1,1,3,4,37,1.2,1
1,1,0,2,3,31,1,1
3,2,0,3,3,19,6,0
4,2,1,5,2,59,6.6,0
3,3,0,4,2,37,14.3,0
3,2,0,3,1,30,5.3,0
4,2,0,4,4,83,5.4,0
1,1,1,3,4,31,10.9,0
5,5,1,2,2,43,17.9,0
4,3,1,2,4,19,3.5,1
5,5,1,3,3,64,7.3,0
1,1,0,4,3,24,1.3,0
3,1,0,5,4,24,11.6,0
4,2,1,5,3,33,10,0
5,3,1,3,4,17,11.3,1
1,1,1,4,1,37,8.5,0
5,5,1,2,2,21,4.5,1
4,3,1,2,2,29,18.9,0
5,4,0,4,2,34,14.7,1
3,2,0,6,1,15,4.2,1
2,1,0,5,2,43,7.5,0
5,2,1,3,4,78,5.6,0
4,2,0,2,2,19,22.2,1
3,5,0,3,2,29,9.3,0
4,4,0,6,2,9,3.8,0
3,2,0,5,5,66,16.4,1
5,3,1,5,2,32,6.7,0
1,3,0,4,2,42,2.9,0
2,2,0,4,4,50,15.6,1
4,4,1,4,3,50,6.5,0
2,4,1,6,3,74,2.8,1
3,1,0,3,2,20,9.3,0
1,2,0,3,3,36,13.4,1
2,3,0,2,3,64,4.3,0
3,2,1,6,2,9,7.8,0
2,4,1,6,1,16,9.9,0
3,3,0,4,3,76,2.6,1
5,5,0,4,1,66,0.4,0
1,1,0,6,2,11,4.5,0
2,2,1,2,2,13,10.8,1
2,3,0,3,5,55,16.5,1
3,1,1,6,4,28,3.5,0
1,1,1,5,3,191,11.3,0
1,2,0,3,4,71,10.7,0
3,1,1,6,3,17,9.7,0
3,3,1,4,3,27,6.5,1
1,1,0,3,2,53,5,0
4,4,0,3,3,37,11,0
2,1,0,6,1,21,10.1,0
3,3,1,3,4,47,8.3,1
3,4,0,3,4,30,9.9,1
4,5,0,6,5,9,1,0
2,3,1,2,1,18,8.1,0
1,1,0,5,1,69,7.9,0
3,2,0,6,3,51,17.7,0
1,1,1,5,3,35,26.1,0
5,2,1,2,3,28,9.8,0
1,3,1,5,1,143,10,0
4,3,1,6,3,80,17.9,0
2,3,1,5,4,18,8.8,0
5,5,1,5,2,41,8.7,0
4,1,1,5,2,32,20.9,1
5,2,0,6,4,310,14.2,0
2,1,0,5,4,182,4.7,0
3,1,0,4,2,154,2.4,0
1,1,0,5,2,49,19.8,0
2,1,0,5,1,143,5,0
5,5,1,3,2,25,3.8,1
4,2,1,2,2,19,24.1,0
3,2,0,4,5,31,4.7,0
4,1,0,6,5,10,13.1,1
1,2,1,2,1,19,15,0
1,3,1,5,2,83,7.3,0
3,1,1,5,3,165,9.7,0
3,5,1,6,4,117,7.1,0
1,2,1,4,1,43,1.7,0
1,2,1,6,2,58,12.3,0
1,1,0,5,4,27,15,0
2,1,1,3,4,40,12.6,0
1,1,1,5,4,143,6.4,0
3,2,1,5,4,118,25.6,1
2,4,1,3,4,18,20.2,0
3,1,1,5,4,20,22.4,0
5,5,1,4,1,31,0.3,0
2,2,1,4,4,36,17.1,0
5,1,1,3,2,13,8.6,0
2,1,0,6,2,11,1.7,0
2,5,0,4,2,43,6.5,0
2,1,0,3,1,25,8.1,0
2,1,0,3,4,36,3.9,0
2,1,0,5,2,11,23.1,0
3,1,1,2,4,36,11,0
4,4,0,4,5,42,5.4,1
1,2,0,5,1,48,11,0
1,3,1,5,1,31,19,0
1,3,0,4,2,16,11.8,1
2,1,1,5,5,47,9.4,0
5,3,0,6,2,14,5.7,0
1,2,0,6,2,47,18.4,0
4,4,0,5,4,181,5.1,0
3,1,1,4,4,92,11.6,1
2,4,1,3,4,33,3.5,1
1,1,1,6,2,13,4.8,0
5,4,1,6,3,43,11.3,0
4,2,1,3,2,34,15.4,1
1,1,0,6,5,193,3.3,0
3,4,1,3,3,33,2.7,0
5,2,0,5,2,54,16.4,0
4,2,1,4,2,117,0.9,0
5,3,1,5,1,73,9.8,0
1,1,0,4,5,33,7.2,1
4,1,1,6,2,102,13.3,0
3,2,0,6,4,103,21.3,0
2,4,0,4,3,36,7.5,0
4,5,1,4,3,64,11.5,0
2,3,1,3,3,30,0.5,1
3,1,1,5,2,74,17.3,1
5,5,1,5,3,81,4.9,0
4,4,0,3,5,37,4,1
2,3,0,4,2,63,14,1
3,3,1,2,3,23,13.3,1
3,5,0,5,3,20,4.6,0
3,2,0,3,2,24,15,1
5,5,1,3,2,37,20.1,0
1,2,0,5,2,33,10.1,0
1,3,0,5,1,45,10.8,0
5,5,0,5,2,54,5.4,0
4,3,0,4,3,71,3.7,1
1,2,0,4,3,51,0.9,1
1,1,1,3,2,26,7.3,0
3,3,1,3,3,70,14.8,0
1,1,0,5,2,30,12.2,0
1,2,0,5,1,105,10.7,0
5,4,0,5,2,259,1.7,0
1,2,0,3,3,40,17.4,1
3,3,0,6,2,25,19.3,0
4,1,1,6,2,49,14.9,0
5,3,0,4,5,55,5.2,1
4,3,0,6,2,65,31.1,0
5,5,0,5,2,24,8.1,0
2,2,0,6,5,9,13.9,0
4,4,0,3,2,22,1.6,0
2,1,0,3,5,98,24.4,0
5,5,1,3,3,30,31.7,0
2,3,1,4,1,57,22.1,0
4,1,0,5,2,28,13.5,1
4,4,0,6,3,63,11.4,0
3,2,0,4,2,53,7.1,1
1,2,0,4,2,29,11.9,0
3,2,1,5,3,56,6.9,0
5,5,0,5,5,208,14.1,1
5,5,0,5,2,15,14.2,0
2,2,1,4,3,55,5.9,1
3,4,0,4,4,101,2.1,1
3,4,0,3,2,19,4.1,1
1,1,0,2,2,19,10.3,1
3,4,0,2,2,32,11.6,0
1,1,0,3,3,19,21.1,0
5,4,1,4,4,78,10.9,1
3,4,1,5,4,91,25.6,0
5,2,0,5,1,78,9.2,0
3,3,1,3,4,45,6.6,1
2,3,0,5,2,293,20.8,0
2,1,1,4,2,29,15,0
5,5,1,3,3,25,8.9,1
5,3,1,5,2,61,9.9,0
5,3,1,4,4,94,7,0
5,3,0,4,2,37,2.2,0
5,5,1,4,3,38,5.2,0
4,2,1,5,2,27,10.8,0
5,5,0,6,2,57,8.6,0
2,2,0,3,4,24,1.9,1
1,2,1,4,3,44,5.2,0
3,1,0,4,4,95,21.1,1
1,1,0,6,4,32,10,0
2,4,1,2,2,17,4.9,0
5,4,0,4,2,32,10.5,1
4,1,0,5,3,41,23.8,1
2,3,1,5,3,207,2,1
5,3,1,5,2,339,5.1,1
1,3,1,6,3,59,7.9,0
2,5,1,6,3,11,8.2,0
5,1,1,4,4,24,4.1,0
1,2,1,4,2,145,2.7,1
1,5,1,5,4,60,9.1,1
2,4,0,5,2,25,7.3,0
1,4,0,5,4,91,12.7,1
1,2,1,5,4,54,4.3,0
2,4,0,6,2,50,9.4,0
2,1,0,5,2,96,5.8,0
1,1,0,6,4,66,18.1,1
1,2,1,6,2,105,4.9,0
5,5,1,4,5,147,12.5,1
5,2,1,3,4,39,3.7,1
1,1,1,4,3,53,17.7,1
5,5,1,6,3,144,2.5,0
5,2,0,4,1,22,17.3,0
3,1,0,5,2,66,4.1,0
1,1,0,3,5,14,15,0
1,1,1,3,1,32,12.3,0
2,2,1,2,3,24,5.9,1
1,1,1,6,4,10,9.2,0
3,5,1,6,2,38,16.2,1
1,1,1,4,2,43,18.1,1
2,4,0,6,2,15,6.7,1
4,3,1,6,2,12,22.7,1
5,5,1,4,4,107,4.1,0
1,2,1,6,1,10,4.6,0
2,3,0,6,2,19,4.9,0
2,3,0,5,1,33,11.9,0
3,1,1,4,4,41,11,1
4,2,1,5,1,236,0.5,0
2,4,0,2,3,44,6.4,0
5,1,1,2,2,17,5.9,0
2,2,0,5,4,94,16.4,1
3,1,1,6,3,57,5.6,0
5,2,0,5,2,70,20.4,0
4,4,1,3,4,19,12.5,1
3,5,1,5,3,68,3,0
2,4,0,5,3,184,6.6,0
1,1,1,4,4,54,1.6,1
2,2,1,5,4,80,5.8,1
4,4,0,4,1,60,7.4,0
5,1,0,5,1,9,16.1,0
4,1,0,4,1,43,15.1,0
4,4,0,2,2,18,21.7,0
2,1,1,3,1,38,17.5,0
3,5,1,5,1,27,7.8,0
4,2,1,5,2,35,12.9,0
3,1,1,5,3,96,9.7,0
1,1,0,3,1,53,1,0
5,4,0,5,2,29,8.5,0
1,3,1,6,2,20,2.5,0
4,3,1,4,1,52,12.6,0
3,1,0,6,3,296,17.1,1
3,4,0,4,3,41,8.3,1
3,2,1,5,4,20,8.5,0
5,2,0,4,2,33,5.8,0
1,2,0,6,4,12,6.5,0
2,1,1,6,2,23,1.8,0
2,3,0,6,1,21,5.5,1
3,4,0,3,4,16,2.3,0
5,3,0,6,4,108,5.6,1
3,4,1,6,3,167,4.7,1
3,4,1,5,2,20,6.3,0
1,1,1,4,2,26,7,0
1,4,0,5,3,49,10.8,0
5,4,0,6,1,17,16.2,0
5,2,0,5,2,19,4.7,0
3,4,0,4,1,46,5.7,0
2,2,1,4,2,83,7.2,1
2,1,1,6,2,26,13.1,0
4,1,0,5,5,46,36.7,0
3,3,1,4,1,41,14,1
1,2,1,2,2,13,16.5,0
2,3,1,4,3,81,10.5,0
5,4,1,6,4,31,5.5,0
3,1,1,6,1,107,2,0
4,4,0,3,2,32,22.7,0
3,2,0,5,1,25,11,0
4,2,1,5,4,125,5.7,0
4,4,1,4,4,44,9.6,0
5,5,0,3,4,137,5.3,1
3,4,0,3,3,49,7.7,0
2,1,0,2,3,28,10.5,1
1,1,1,6,3,60,9.9,1
3,3,1,5,4,186,20.6,0
4,1,1,4,1,49,6.4,0
5,4,1,4,4,34,20.2,0
5,5,1,3,2,32,6.9,0
5,5,0,4,1,28,12.2,0
5,3,1,3,3,24,13.5,1
5,3,0,2,3,27,11.2,1
2,1,0,4,2,38,7.6,0
5,4,1,2,3,17,3.1,1
3,1,0,4,2,90,7.2,0
3,1,0,6,1,26,12.4,0
2,2,0,5,2,112,26.1,0
3,2,0,5,3,70,9.9,1
1,3,0,4,4,197,18.8,0
5,2,1,2,2,15,8.1,0
3,4,1,5,3,98,22.7,0
5,2,0,4,3,116,9.6,1
5,3,0,3,1,40,10.7,0
5,2,0,4,4,190,7,1
5,4,1,3,4,25,4.6,0
5,4,1,4,2,240,2,0
1,3,0,5,2,74,7.3,0
3,2,0,6,5,17,7.5,1
4,4,1,4,4,54,11.5,0
5,3,0,5,3,73,7.4,0
5,3,0,2,2,12,2.6,0
4,4,0,5,2,23,14.2,0
4,4,0,5,1,190,2.2,0
4,3,1,6,2,72,14.4,0
5,5,1,5,1,31,1.3,0
1,3,0,4,4,47,4.9,1
3,3,0,4,4,23,7.7,1
5,5,1,5,3,52,12.7,1
3,2,0,6,2,20,9.8,0
3,2,1,4,3,23,10.3,1
3,4,0,4,2,136,7.4,0
5,4,1,4,2,39,11.8,0
5,4,0,4,4,22,4,1
5,3,0,6,1,36,5.1,0
1,1,0,3,4,13,6.8,0
3,1,0,5,3,68,10.1,1
2,1,0,5,3,95,11.6,0
3,2,0,5,2,75,10.3,0
3,3,1,5,1,304,16.6,0
2,1,0,6,2,14,5.7,0
3,4,0,4,2,46,13.5,0
1,2,0,3,4,39,11,0
3,4,1,5,4,9,4.6,0
4,4,0,4,3,96,12.6,1
4,4,0,4,4,72,4.4,0
2,3,0,2,2,18,2.1,1
2,1,0,6,1,9,8.2,0
4,5,0,6,2,28,10.7,1
1,4,1,2,2,14,14.8,0
3,5,1,6,1,17,6.3,0
2,2,0,4,4,49,4.7,0
1,1,0,4,4,25,9,1
5,5,0,2,3,19,22.1,0
2,2,0,5,2,183,1.1,0
1,2,0,5,3,112,16,1
5,2,1,6,2,54,10.2,0
4,5,0,2,2,19,18.4,1
1,2,0,3,3,21,28.5,0
4,3,0,4,4,47,2.9,1
2,1,0,5,3,58,19.8,0
1,1,1,4,4,140,8.7,1
1,2,0,6,2,14,3.7,0
5,3,0,3,1,24,17.6,0
4,4,1,5,3,203,19.6,1
1,2,0,5,1,79,33.2,0
3,1,1,3,2,62,12.6,1
3,3,1,4,3,30,1.9,0
2,3,1,6,2,22,8.7,0
4,1,1,3,1,15,11.4,0
5,3,1,6,2,20,8.2,0
4,3,1,5,1,75,9.2,0
3,3,1,2,4,35,19.3,1
1,1,1,6,3,41,16.1,0
5,4,1,6,3,14,6.3,0
5,4,0,6,5,32,6.4,1
3,5,1,5,1,25,6.6,0
5,4,1,4,3,21,5.8,1
4,1,1,3,3,35,5.4,0
2,1,1,5,3,95,4.6,0
2,4,1,5,5,72,9.1,1
4,5,0,4,4,50,8.4,1
5,4,1,4,1,72,2.5,1
2,1,0,4,3,39,11.8,1
3,1,1,5,1,91,9.8,0
2,2,1,5,5,182,3.7,0
1,1,0,5,4,84,4,0
2,2,0,3,4,29,8.5,0
4,5,1,3,5,23,23.2,1
2,5,1,5,1,76,13,0
1,1,1,6,3,388,5.9,0
5,5,0,5,5,106,3.4,0
5,2,1,3,1,23,5.6,0
5,3,0,3,4,42,18.4,0
3,3,0,6,2,165,4.9,0
1,1,1,5,4,147,3.2,0
3,4,0,2,3,18,7.3,0
4,1,1,2,2,28,6.8,0
4,3,0,6,1,9,4.4,0
2,1,0,3,5,29,4.5,1
4,4,1,3,5,54,8.9,1
5,2,1,3,4,25,10.9,0
2,3,1,5,3,218,4.8,1
4,5,0,2,2,17,15.6,0
2,1,0,2,2,17,0.8,1
4,4,0,3,3,122,20.1,1
1,1,0,3,4,23,5.8,0
4,4,1,2,2,43,11.2,0
1,4,1,4,2,25,14,0
3,1,0,6,1,9,10,0
5,4,0,5,5,58,5.8,0
2,1,1,4,4,297,5.1,0
5,2,1,2,2,26,4.1,0
4,1,0,3,4,45,10.3,0
4,1,0,2,3,22,4.9,1
1,1,1,4,2,26,3.3,0
3,2,1,5,3,80,6.1,0
2,3,0,3,2,71,18.8,0
4,3,1,4,2,34,5.3,0
5,4,1,4,2,65,4.1,0
5,5,0,2,4,19,4.3,1
3,4,0,4,2,23,6,0
2,4,1,5,4,85,10.3,0
4,1,1,3,2,54,3,1
1,1,0,4,3,37,4.1,0
4,2,0,3,4,36,3.9,0
2,1,1,3,5,18,3,0
3,3,0,3,4,17,2.6,0
1,1,0,6,2,20,12.5,0
5,4,0,6,3,68,22.4,1
3,1,0,3,4,149,14.6,1
1,1,0,2,2,16,21,0
2,4,0,6,2,46,7.2,0
2,3,0,4,1,97,6.1,0
4,5,0,4,2,95,6.3,0
5,1,0,5,2,54,6.3,1
3,5,0,3,3,37,7,1
4,3,0,4,3,33,7,0
3,4,0,4,4,120,2.4,0
3,2,1,5,1,45,9.4,1
1,1,0,5,2,197,21.3,0
3,3,0,5,3,78,4.8,0
3,3,1,6,2,148,6.6,0
3,2,1,4,5,35,10.4,0
3,2,0,4,1,58,6.7,1
3,2,1,2,3,44,3.3,1
2,4,0,2,1,19,3.5,1
1,3,1,4,4,89,2,1
2,1,1,6,1,97,14.3,0
4,3,1,4,2,41,7.6,0
4,2,0,6,4,16,8.1,0
4,4,0,4,4,43,13.5,0
1,1,1,3,4,35,4.4,1
5,3,0,2,1,16,6.3,1
1,1,0,5,3,84,12.1,0
4,3,0,4,1,46,7.5,0
1,2,1,3,1,39,16.9,0
5,5,0,4,3,24,9.3,0
1,1,1,6,3,54,9.3,0
3,4,0,4,1,59,1.5,0
3,3,0,6,1,10,6,0
5,5,0,6,2,47,12.4,0
1,1,1,3,2,14,7.2,0
5,1,0,5,2,108,2.4,0
2,3,0,4,2,36,4.5,0
4,4,1,5,2,60,22.4,0
3,1,1,4,1,33,13.8,1
2,1,0,4,3,73,0.5,1
4,4,1,5,4,70,4.4,1
2,3,1,5,3,42,12.8,0
3,2,0,4,4,34,7.1,0
3,5,0,4,3,204,3.1,0
4,4,0,3,4,16,3.1,1
4,1,1,5,1,43,7.8,0
3,3,1,4,1,18,6.2,1
4,2,1,3,4,19,11.4,1
3,1,1,6,2,9,9.5,0
4,2,0,2,2,23,9.2,1
1,1,0,6,3,18,24.2,0
1,2,0,6,2,14,7.4,0
5,4,0,5,2,44,12.1,0
1,1,1,6,1,9,5.6,0
5,1,1,6,1,9,19.8,0
3,5,1,4,4,41,4.9,0
3,4,1,3,3,42,5.1,1
3,5,1,5,2,67,1.7,0
3,3,1,5,2,25,4.7,0
3,2,1,2,3,40,20.1,1
3,4,1,3,3,28,6.6,1
1,2,1,4,2,42,4.7,0
4,4,0,6,2,58,8.4,0
3,2,1,3,3,39,27.3,0
3,3,0,6,3,46,14.3,0
5,5,1,6,1,13,23.9,0
1,1,1,5,3,62,5,0
2,1,1,4,5,55,9.6,1
1,1,1,4,3,26,17.3,1
3,5,0,5,4,515,3.9,0
5,4,1,4,2,39,9.3,0
2,2,0,4,1,40,3.4,0
4,3,0,5,4,59,18.9,0
3,3,1,4,5,77,16,0
5,5,0,3,2,15,15,0
3,1,0,2,2,19,13,1
5,3,1,3,1,22,9.9,0
1,1,0,6,2,41,17.6,0
3,2,0,2,3,16,27.1,0
4,1,1,4,2,97,24.6,0
4,5,0,2,1,18,7,0
3,1,0,4,3,45,4.8,0
2,5,1,2,2,13,9.6,0
2,5,1,5,2,27,7.7,1
